,Topic,Word,P
0,0,services,0.09864667057991028
1,0,products,0.09516022354364395
2,0,companys,0.06224782392382622
3,0,competitors,0.04678814113140106
4,0,media,0.03721669688820839
5,0,platforms,0.035692211240530014
6,0,competencies,0.030487004667520523
7,0,happy,0.0252853874117136
8,0,experts,0.0252853874117136
9,0,motivated,0.0252853874117136
10,1,customer,0.10618934780359268
11,1,face,0.04164726659655571
12,1,resellers,0.027897080406546593
13,1,switching,0.027897080406546593
14,1,manufacturing,0.027896735817193985
15,1,channel,0.02581842616200447
16,1,chain,0.025323394685983658
17,1,incurring,0.014146389439702034
18,1,reducing,0.014146389439702034
19,1,associated,0.014146298170089722
20,2,suppliers,0.1869107484817505
21,2,customers,0.1677633672952652
22,2,investors,0.07862629741430283
23,2,stakeholders,0.042051274329423904
24,2,data,0.03949810191988945
25,2,benefit,0.038412582129240036
26,2,propositions,0.029596183449029922
27,2,affiliations,0.020784104242920876
28,2,transactions,0.018137911334633827
29,2,desires,0.018136726692318916
30,3,proposition,0.11647678911685944
31,3,product,0.10711634159088135
32,3,customers,0.09733165800571442
33,3,service,0.05699491500854492
34,3,anchor,0.03697957843542099
35,3,anchors,0.03697957843542099
36,3,transactions,0.03697839379310608
37,3,future,0.035830795764923096
38,3,products,0.031230205669999123
39,3,image,0.028094587847590446
40,4,offers,0.16765595972537994
41,4,customers,0.09680180251598358
42,4,resources,0.0965418815612793
43,4,aligned,0.0850350633263588
44,4,investors,0.05322736129164696
45,4,ecommerce,0.028593378141522408
46,4,recruitment,0.026982266455888748
47,4,channels,0.018142664805054665
48,4,cybersecurity,0.016512427479028702
49,4,technologies,0.015828581526875496
50,5,partners,0.1823401302099228
51,5,quality,0.0599060095846653
52,5,portfolio,0.04581945389509201
53,5,continually,0.039985720068216324
54,5,health,0.039985720068216324
55,5,safety,0.039985720068216324
56,5,adequate,0.03998493775725365
57,5,depending,0.03998493775725365
58,5,platform,0.025862349197268486
59,5,user,0.02103862538933754
60,6,stakeholders,0.1323898732662201
61,6,opportunities,0.1171480342745781
62,6,strategic,0.051317449659109116
63,6,stakeholder,0.04217293858528137
64,6,brand,0.03811422362923622
65,6,preferred,0.0327361524105072
66,6,resource_owners,0.03165684640407562
67,6,investors,0.030720623210072517
68,6,competition,0.028379403054714203
69,6,allocating,0.023558273911476135
70,7,propositions,0.14337867498397827
71,7,resource,0.06958679854869843
72,7,customer,0.06158378720283508
73,7,investor,0.0566260851919651
74,7,benefits,0.051277853548526764
75,7,partner,0.026703424751758575
76,7,policies,0.022634223103523254
77,7,retention,0.02216413803398609
78,7,saleable,0.02216413803398609
79,7,aim,0.02216413803398609
80,8,supplier,0.14922770857810974
81,8,capabilities,0.08122660964727402
82,8,preferred,0.07082806527614594
83,8,offer,0.05382174625992775
84,8,reseller,0.04850985109806061
85,8,innovation,0.03027164936065674
86,8,larger,0.024599112570285797
87,8,convey,0.024598995223641396
88,8,range,0.02459888346493244
89,8,environmentally,0.02459888346493244
90,9,employees,0.14371338486671448
91,9,investment,0.05973787605762482
92,9,local,0.04725306108593941
93,9,goals,0.04078886657953262
94,9,standards,0.027781961485743523
95,9,services,0.024734416976571083
96,9,agencies,0.01899111457169056
97,9,offer,0.018878061324357986
98,9,rules,0.01861404813826084
99,9,regulations,0.01861404813826084
